center_x,center_y,label,orientation,avg_height,orig_index
16121,2942,platform_large,90.0,233.17701721191406,308
15404,2930,palace,90.0,236.01165771484375,309
15926,2901,double_house,90.0,238.3072509765625,310
15922,2887,cluster_houses,83.1572265625,238.96954345703125,311
15809,2811,cluster_houses,86.633544921875,247.16831970214844,312
15803,2785,double_house,86.53176879882812,249.12417602539062,313
16099,2775,double_house,82.87498474121094,240.16201782226562,314
16009,2764,double_house,90.0,247.8367919921875,315
16145,2761,platform_large,90.0,239.14126586914062,316
16153,2748,house,66.80140686035156,239.35426330566406,317
16055,2740,palace,90.0,249.10699462890625,318
16128,2734,unknown_large_building,67.16634368896484,242.3848876953125,319
16078,2736,house,90.0,247.6578369140625,320
16108,2728,house,90.0,245.05772399902344,321
16003,2727,house,90.0,250.8795623779297,322
16064,2721,palace,90.0,252.82017517089844,323
16011,2713,house,90.0,252.10919189453125,324
16057,2702,house,90.0,255.50518798828125,325
15417,2710,double_house,8.746162414550781,255.64222717285156,326
15806,2697,platform_small,90.0,261.4681396484375,327
15405,2689,palace,90.0,258.0127258300781,329
15534,2687,house,90.0,261.2872009277344,330
15549,2687,palace,90.0,261.01336669921875,331
15515,2669,double_house,8.130102157592773,262.30462646484375,332
15815,2665,double_house,83.6598129272461,263.8030090332031,333
15436,2635,house,90.0,264.5922546386719,334
15543,2631,unknown_elongated_building,90.0,270.9764099121094,335
15564,2619,double_house,90.0,270.6833801269531,336
15451,2616,ruin_elongated,90.0,269.17938232421875,337
15531,2604,house,90.0,271.53936767578125,338
15549,2592,palace,5.710593223571777,271.9210205078125,339
15492,2570,house,90.0,273.2751770019531,340
15494,2538,palace,90.0,275.47021484375,341
16751,2326,platform_large,90.0,258.7545166015625,343
16809,2311,palace_large,90.0,258.1512451171875,344
16782,2298,platform_large,90.0,258.4491271972656,345
16888,2290,house,45.0,240.4158935546875,346
16577,2255,palace,90.0,263.1277770996094,347
15786,2092,palace,38.65980911254883,331.59967041015625,348
15670,1996,double_house,5.194429397583008,292.51123046875,349
16945,1794,platform_large,90.0,235.55825805664062,350
16911,1654,palace,90.0,236.32997131347656,351
16759,1554,ruin_small,6.340191841125488,244.2044677734375,352
15686,62,platform_large,90.0,234.6820068359375,353
16312,63,palace_large,90.0,205.80198669433594,355
18052,3488,house,90.0,201.43580627441406,356
18349,3482,palace,90.0,177.5340576171875,357
18077,3479,house,45.0,200.9113311767578,358
18067,3465,double_house,90.0,203.11993408203125,359
18331,3456,unknown_small_building,90.0,181.00320434570312,360
18077,3449,palace,23.962486267089844,204.3519744873047,361
18421,3434,cluster_houses,69.44395446777344,181.28379821777344,362
18064,3418,unknown_large_building,8.426969528198242,209.2836151123047,363
18160,3406,double_house,90.0,199.82093811035156,364
18345,3404,unknown_small_building,61.69924545288086,189.1667938232422,365
18358,3393,house,21.801406860351562,189.06947326660156,366
18233,3394,double_house,90.0,202.92433166503906,367
18178,3392,double_house,75.96376037597656,200.2148895263672,368
18074,3394,cluster_houses,43.2642936706543,208.6446990966797,369
18040,3385,house,90.0,204.99278259277344,370
18151,3378,double_house,72.89727020263672,201.0845489501953,371
18277,3359,palace,21.801406860351562,201.83062744140625,372
18153,3350,platform_large,90.0,202.02784729003906,373
18372,3347,palace,18.43494987487793,193.52000427246094,374
18306,3336,palace,90.0,202.8429718017578,375
18269,3332,house,7.125016689300537,206.64183044433594,376
18226,3320,platform_large,75.96376037597656,205.62673950195312,377
18324,3325,unknown_large_building,83.2901611328125,201.58792114257812,378
18295,3319,ruin_elongated,90.0,203.53648376464844,379
18269,3304,palace_large,5.710593223571777,212.96299743652344,380
18406,3293,house,90.0,193.2515411376953,381
18213,3298,unknown_large_building,2.045408248901367,206.1243133544922,382
18312,3291,house,90.0,203.17727661132812,383
18390,3284,ruin_small,90.0,194.5187225341797,384
18415,3277,cluster_houses,15.255118370056152,193.2596893310547,385
